Timestamp,Người chơi 1,Race 1,Map,Kết quá,Người chơi 2,Race 2
10/2/2024 10:13:40,Domi,Orc,Echo Isles,Thắng,Datmm09,Orc
10/2/2024 10:21:22,Ichiban,Orc,Northern Isles,Thắng,Datmm09,Orc
10/2/2024 13:23:02,Ichiban,Orc,Echo Isles,Thắng,Datmm09,Orc
10/2/2024 20:40:36,Lancelot,HU,Last Refuge,Thua,Ninh,UD
10/2/2024 20:40:52,Lancelot,HU,Northern Isles,Thua,Ninh,UD
10/2/2024 20:41:23,longnt,Orc,Echo Isles,Thắng,Vinam,UD
10/2/2024 20:52:32,longnt,Orc,Amazonia,Thắng,Vinam,UD
10/2/2024 21:09:48,osho,NE,Hammerfall,Thắng,longnt,Orc
10/2/2024 21:31:59,osho,NE,Autumn Leaves,Thắng,longnt,Orc
10/2/2024 21:47:43,longnt,HU,Last Refuge,Thắng,NghiaDepTrai,UD
10/2/2024 21:53:06,Lancelot,HU,Amazonia,Thua,hoanguyen,HU
10/2/2024 22:07:01,Lancelot,HU,Hammerfall,Thua,hoanguyen,HU
10/2/2024 22:10:15,longnt,HU,Echo Isles,Thắng,NghiaDepTrai,UD
10/2/2024 22:20:31,Domi,UD,Last Refuge,Thắng,hoanguyen,HU
10/2/2024 22:29:26,Domi,UD,Hammerfall,Thắng,hoanguyen,Orc
10/3/2024 19:39:07,LazyOldMan,HU,Last Refuge,Thắng,Prac800ic,Orc
10/3/2024 19:45:59,LazyOldMan,Orc,Concealed Hill,Thắng,Prac800ic,HU
10/3/2024 19:51:07,Domi,HU,Echo Isles,Thắng,Prac800ic,HU
10/3/2024 19:57:25,Domi,Orc,Last Refuge,Thắng,Prac800ic,HU
10/3/2024 21:11:14,Lancelot,HU,Concealed Hill,Thua,longnt,Orc
10/3/2024 21:35:25,Lancelot,HU,Hammerfall,Thắng,longnt,Orc
10/3/2024 21:46:11,Lancelot,HU,Amazonia,Thắng,longnt,Orc
10/4/2024 10:14:45,NghiaDepTrai,UD,Concealed Hill,Thua,Singlez,UD
10/4/2024 10:21:35,NghiaDepTrai,UD,Last Refuge,Thua,Singlez,UD
10/4/2024 10:29:28,Domi,NE,Amazonia,Thắng,NghiaDepTrai,UD
10/4/2024 13:24:01,Domi,NE,Concealed Hill,Thắng,NghiaDepTrai,UD
10/4/2024 16:16:23,Domi,UD,Echo Isles,Thắng,TriBui,HU
10/4/2024 16:23:19,Domi,UD,Last Refuge,Thắng,TriBui,HU
10/4/2024 20:36:14,Ragnar,NE,Concealed Hill,Thua,TriBui,HU
10/4/2024 20:42:24,Ragnar,NE,Northern Isles,Thắng,TriBui,HU
10/4/2024 20:49:21,Ragnar,NE,Echo Isles,Thắng,TriBui,HU
10/4/2024 21:08:36,Afterall,HU,Last Refuge,Thắng,TriBui,HU
10/4/2024 21:17:24,Afterall,HU,Hammerfall,Thua,TriBui,HU
10/5/2024 7:44:20,Afterall,HU,Echo Isles,Thắng,TriBui,HU
10/5/2024 7:32:51,Domi,NE,Last Refuge,Thắng,Lancelot,HU
10/5/2024 7:37:53,Domi,NE,Hammerfall,Thắng,Lancelot,HU
10/5/2024 7:50:32,Fervis,UD,Northern Isles,Thua,Afterall,HU
10/5/2024 8:00:38,Fervis,UD,Concealed Hill,Thắng,Afterall,HU
10/5/2024 8:21:57,Fervis,UD,Last Refuge,Thua,Afterall,HU
10/5/2024 8:32:17,Lancelot,HU,Concealed Hill,Thắng,TriBui,HU
